Time,real,imaginary
0.000000,2.000000,0.000000
0.062832,1.949083,0.371808
0.125664,1.801132,0.713118
0.188496,1.570073,0.996398
0.251327,1.277600,1.199746
0.314159,0.951057,1.309017
0.376991,0.620759,1.319181
0.439823,0.317042,1.234796
0.502655,0.067290,1.069539
0.565487,-0.106729,0.844844
0.628319,-0.190983,0.587785
0.691150,-0.180543,0.328407
0.753982,-0.080048,0.096762
0.816814,0.096762,-0.080048
0.879646,0.328407,-0.180543
0.942478,0.587785,-0.190983
1.005310,0.844844,-0.106729
1.068142,1.069539,0.067290
1.130973,1.234796,0.317042
1.193805,1.319181,0.620759
1.256637,1.309017,0.951057
1.319469,1.199746,1.277600
1.382301,0.996398,1.570073
1.445133,0.713118,1.801132
1.507964,0.371808,1.949083
1.570796,-0.000000,2.000000
1.633628,-0.371808,1.949083
1.696460,-0.713118,1.801132
1.759292,-0.996398,1.570073
1.822124,-1.199746,1.277600
1.884956,-1.309017,0.951057
1.947787,-1.319181,0.620759
2.010619,-1.234796,0.317042
2.073451,-1.069539,0.067290
2.136283,-0.844844,-0.106729
2.199115,-0.587785,-0.190983
2.261947,-0.328407,-0.180543
2.324779,-0.096762,-0.080048
2.387610,0.080048,0.096762
2.450442,0.180543,0.328407
2.513274,0.190983,0.587785
2.576106,0.106729,0.844844
2.638938,-0.067290,1.069539
2.701770,-0.317042,1.234796
2.764602,-0.620759,1.319181
2.827433,-0.951057,1.309017
2.890265,-1.277600,1.199746
2.953097,-1.570073,0.996398
3.015929,-1.801132,0.713118
3.078761,-1.949083,0.371808
3.141593,-2.000000,-0.000000
3.204425,-1.949083,-0.371808
3.267256,-1.801132,-0.713118
3.330088,-1.570073,-0.996398
3.392920,-1.277600,-1.199746
3.455752,-0.951057,-1.309017
3.518584,-0.620759,-1.319181
3.581416,-0.317042,-1.234796
3.644247,-0.067290,-1.069539
3.707079,0.106729,-0.844844
3.769911,0.190983,-0.587785
3.832743,0.180543,-0.328407
3.895575,0.080048,-0.096762
3.958407,-0.096762,0.080048
4.021239,-0.328407,0.180543
4.084070,-0.587785,0.190983
4.146902,-0.844844,0.106729
4.209734,-1.069539,-0.067290
4.272566,-1.234796,-0.317042
4.335398,-1.319181,-0.620759
4.398230,-1.309017,-0.951057
4.461062,-1.199746,-1.277600
4.523893,-0.996398,-1.570073
4.586725,-0.713118,-1.801132
4.649557,-0.371808,-1.949083
4.712389,-0.000000,-2.000000
4.775221,0.371808,-1.949083
4.838053,0.713118,-1.801132
4.900885,0.996398,-1.570073
4.963716,1.199746,-1.277600
5.026548,1.309017,-0.951057
5.089380,1.319181,-0.620759
5.152212,1.234796,-0.317042
5.215044,1.069539,-0.067290
5.277876,0.844844,0.106729
5.340708,0.587785,0.190983
5.403539,0.328407,0.180543
5.466371,0.096762,0.080048
5.529203,-0.080048,-0.096762
5.592035,-0.180543,-0.328407
5.654867,-0.190983,-0.587785
5.717699,-0.106729,-0.844844
5.780530,0.067290,-1.069539
5.843362,0.317042,-1.234796
5.906194,0.620759,-1.319181
5.969026,0.951057,-1.309017
6.031858,1.277600,-1.199746
6.094690,1.570073,-0.996398
6.157522,1.801132,-0.713118
6.220353,1.949083,-0.371808
